code,age,name,gender,company,Aracaju (SE)_as_source,Brasilia (DF)_as_source,Campo Grande (MS)_as_source,Florianopolis (SC)_as_source,Natal (RN)_as_source,Recife (PE)_as_source,Rio de Janeiro (RJ)_as_source,Salvador (BH)_as_source,Sao Paulo (SP)_as_source,Aracaju (SE)_as_destination,Brasilia (DF)_as_destination,Campo Grande (MS)_as_destination,Florianopolis (SC)_as_destination,Natal (RN)_as_destination,Recife (PE)_as_destination,Rio de Janeiro (RJ)_as_destination,Salvador (BH)_as_destination,Sao Paulo (SP)_as_destination,economic_count,firstClass_count,premium_count,total_distance,total_price,total_time,january_as_travel_month,february_as_travel_month,march_as_travel_month,april_as_travel_month,may_as_travel_month,june_as_travel_month,july_as_travel_month,august_as_travel_month,september_as_travel_month,october_as_travel_month,november_as_travel_month,december_as_travel_month
10,Melvin Lovejoy,36,male,4You,27,25,7,9,8,30,8,9,5,27,25,7,9,8,30,8,9,5,32,48,48,63467.08000000003,114460.29999999999,164.97999999999996,9,9,8,9,9,8,9,9,10,18,17,13
11,Virginia Roberts,61,female,4You,76,99,21,22,28,66,28,23,21,76,99,21,22,28,66,28,23,21,112,160,112,190230.36000000022,354737.8099999999,494.4400000000013,36,32,36,34,35,25,28,25,29,35,34,35
12,David Thomas,53,male,4You,26,37,13,4,8,27,12,8,5,26,37,13,4,8,27,12,8,5,36,62,42,67141.29999999994,129765.88000000005,174.47999999999993,16,8,9,9,9,8,9,9,10,19,16,18
13,Irene Tucker,36,none,4You,87,71,23,22,20,77,16,23,19,87,71,23,22,20,77,16,23,19,92,152,114,185605.67999999985,338470.3300000001,482.26000000000084,35,32,26,26,27,25,27,26,28,36,34,36
14,John Cody,37,male,4You,15,17,8,3,5,14,5,9,4,15,17,8,3,5,14,5,9,4,24,36,20,40888.58000000001,74654.26999999997,106.25999999999998,9,8,9,9,9,8,0,0,2,9,8,9
15,Janice Cudney,56,female,4You,56,59,30,15,16,64,22,15,19,56,59,30,15,16,64,22,15,19,92,118,86,151042.82,273582.5099999999,392.4400000000003,27,24,26,26,27,25,27,16,19,27,26,26
16,Shane Hubner,47,female,4You,69,58,18,17,17,74,27,18,14,69,58,18,17,17,74,27,18,14,88,138,86,158936.06000000003,290675.52999999997,412.92000000000013,27,25,25,27,25,26,28,25,25,28,24,27
17,Victor Tribbett,25,none,4You,16,18,2,1,7,14,9,2,7,16,18,2,1,7,14,9,2,7,32,32,12,35534.18,65164.67,92.33999999999996,9,8,9,9,9,4,0,0,2,9,9,8
18,Tanya Orourke,65,none,4You,53,50,15,16,19,59,19,21,16,53,50,15,16,19,59,19,21,16,82,122,64,136065.9600000001,246901.04000000007,353.58000000000004,27,25,25,23,18,16,19,17,19,27,25,27
19,John Bennett,22,male,4You,32,36,9,9,8,36,15,8,13,32,36,9,9,8,36,15,8,13,40,86,40,84965.70000000001,162774.73,220.71999999999977,18,17,16,17,9,8,10,8,10,18,18,17
20,Sally Roberts,65,female,4You,32,35,7,16,10,24,9,11,10,32,35,7,16,10,24,9,11,10,34,56,64,75962.19999999997,141219.24000000002,197.4599999999998,17,17,13,9,9,8,10,8,10,19,16,18
21,Julia Meinhart,56,female,4You,99,79,32,22,16,73,25,29,23,99,79,32,22,16,73,25,29,23,100,160,138,212361.61999999968,388211.89999999973,551.8000000000004,35,34,34,36,34,34,33,25,28,35,34,36
22,Michele Ashford,51,female,4You,60,59,20,21,11,60,22,10,17,60,59,20,21,11,60,22,10,17,84,110,86,139628.96000000002,253491.06000000006,362.8200000000004,26,24,27,26,27,16,19,17,19,28,24,27
23,Leslie Sandoval,35,male,4You,52,60,22,22,18,64,16,22,16,52,60,22,22,18,64,16,22,16,84,102,106,149056.93999999994,265503.04999999993,387.40000000000003,26,24,26,28,24,26,22,17,19,28,25,27
24,Calvin Cuellar,60,male,4You,24,13,7,3,4,18,6,4,3,24,13,7,3,4,18,6,4,3,26,32,24,45037.73999999999,78912.18,116.97999999999993,9,9,8,9,9,8,2,0,2,9,8,9
25,Elizabeth Smith,64,female,4You,41,33,16,10,14,41,6,9,16,41,33,16,10,14,41,6,9,16,52,72,62,94821.74000000002,174557.64,246.3199999999999,18,16,17,19,17,16,11,9,10,18,17,18
26,Yolanda Connolly,49,female,4You,38,41,11,14,5,33,16,13,15,38,41,11,14,5,33,16,13,15,46,82,58,94272.25999999998,176392.13000000006,245.03999999999996,18,16,17,18,18,16,11,9,10,18,18,17
27,Sean Pearson,62,male,4You,29,31,10,13,9,31,6,14,9,29,31,10,13,9,31,6,14,9,42,62,48,80290.68000000005,143718.03,208.65999999999983,18,17,10,9,8,9,9,9,10,19,16,18
28,April Miller,46,female,4You,6,2,1,2,1,3,0,0,5,6,2,1,2,1,3,0,0,5,4,8,8,9595.060000000001,18486.31,24.92,0,0,0,0,0,0,0,0,2,9,8,1
29,Lisa Natera,35,female,4You,9,11,1,4,4,13,2,3,5,9,11,1,4,4,13,2,3,5,14,30,8,23595.659999999996,46798.15999999999,61.359999999999985,9,8,7,0,0,0,0,0,2,9,9,8
30,Alberta Bornhorst,59,female,4You,3,7,2,0,2,3,3,0,4,3,7,2,0,2,3,3,0,4,8,10,6,8023.760000000002,17627.13,20.840000000000007,0,0,0,0,0,0,0,0,2,9,9,4
31,Christopher Elliott,40,none,4You,18,18,5,7,5,20,7,2,4,18,18,5,7,5,20,7,2,4,22,40,24,37730.799999999996,73253.21999999997,98.05999999999999,9,8,9,9,9,8,6,0,2,9,8,9
32,Wesley Locker,44,male,4You,91,73,25,24,22,69,14,27,25,91,73,25,24,22,69,14,27,25,94,162,114,191561.2399999998,354461.0999999996,497.78000000000077,34,33,35,29,26,26,28,25,29,35,33,37
33,Ida Turzak,56,female,4You,2,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,2,1,0,2,4,3800.36,6904.7300000000005,9.88,0,0,0,0,0,0,0,0,2,4,0,0
34,Anita Petersen,21,female,4You,65,65,13,14,18,74,24,27,22,65,65,13,14,18,74,24,27,22,84,134,104,159806.30000000008,298775.3699999998,415.2599999999998,27,23,27,27,26,25,28,25,29,34,25,26
35,Helen Selby,34,none,4You,21,18,6,3,12,18,11,1,2,21,18,6,3,12,18,11,1,2,22,44,26,42426.74000000001,81467.12,110.27999999999992,9,8,9,9,9,8,9,3,2,9,8,9
36,Anna Rodriguez,56,none,4You,29,39,14,8,10,29,9,3,9,29,39,14,8,10,29,9,3,9,44,56,50,66397.41999999994,128235.12999999999,172.56000000000003,17,17,9,9,8,9,9,9,10,19,17,17
37,Denise Newton,27,none,4You,7,6,2,3,2,4,2,1,1,7,6,2,3,2,4,2,1,1,16,6,6,14099.32,21938.31,36.64000000000001,0,0,0,0,0,0,0,0,2,9,8,9
38,Nancy Dowdy,47,female,4You,44,43,14,11,17,39,10,16,12,44,43,14,11,17,39,10,16,12,52,100,54,101265.59999999998,191965.1999999999,263.1799999999999,17,17,17,18,17,17,19,17,14,19,16,18
39,Billie Dwight,48,female,4You,57,68,11,19,18,65,19,16,17,57,68,11,19,18,65,19,16,17,76,128,86,143112.34000000008,268852.64000000013,371.9800000000002,26,25,26,27,26,25,20,17,19,27,26,26
40,Carlos Campbell,42,none,4You,73,73,21,21,18,77,25,27,25,73,73,21,21,18,77,25,27,25,106,154,100,182285.0199999998,333625.3000000001,473.6000000000006,36,33,27,26,26,26,28,25,29,35,34,35
41,Sandra Bissonnette,62,female,4You,80,77,19,19,20,66,27,22,22,80,77,19,19,20,66,27,22,22,88,148,116,175052.39999999956,326668.3799999998,454.88000000000045,33,27,26,26,27,25,27,26,28,35,34,38
42,Robert Collins,61,male,4You,3,1,0,1,1,0,0,0,0,3,1,0,1,1,0,0,0,0,0,6,0,2822.32,6435.04,7.34,0,0,0,0,0,0,0,0,2,4,0,0
43,Louise James,24,female,4You,30,35,9,10,10,34,19,9,4,30,35,9,10,10,34,19,9,4,50,70,40,79774.14000000003,144590.62000000002,207.2999999999999,18,16,17,11,9,8,9,9,10,18,18,17
44,David Brisco,21,male,4You,46,41,18,8,11,37,16,9,14,46,41,18,8,11,37,16,9,14,42,90,68,93982.11999999997,181099.46999999986,244.22000000000003,18,16,17,19,17,16,19,15,10,18,17,18
45,Margaret Paul,54,female,4You,51,51,14,19,10,38,14,25,8,51,51,14,19,10,38,14,25,8,66,108,56,124837.42000000001,224999.83999999994,324.4600000000004,19,15,17,18,18,16,19,17,19,27,26,19
46,Bobby Garcia,42,male,4You,60,68,21,25,16,52,13,21,10,60,68,21,25,16,52,13,21,10,56,144,86,149663.8800000001,283356.0300000001,388.9200000000005,26,25,25,27,26,22,18,18,19,27,25,28
47,Kevin Lindholm,28,male,4You,51,52,13,19,13,58,15,21,30,51,52,13,19,13,58,15,21,30,102,96,74,138441.34000000005,241626.54000000004,359.75999999999993,28,24,25,26,19,16,18,18,19,28,24,27
48,Clyde Ruiz,46,male,4You,18,19,6,5,4,15,5,10,2,18,19,6,5,4,15,5,10,2,18,38,28,46791.01999999999,85356.41,121.61999999999988,9,8,9,9,9,8,4,0,2,9,8,9
49,Charles Wilenkin,55,male,4You,61,72,22,13,19,58,21,17,23,61,72,22,13,19,58,21,17,23,88,134,84,143043.14000000004,274170.9399999999,371.6800000000005,27,24,26,27,26,25,28,25,19,26,26,27
50,Monique Williams,56,female,4You,52,53,14,14,12,37,19,10,13,52,53,14,14,12,37,19,10,13,54,102,68,112153.2000000001,210874.0000000001,291.5000000000002,18,16,17,18,17,17,18,18,19,27,21,18
51,Jenell Torbus,39,female,4You,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,2,0,2,1230.86,2303.51,3.2,0,0,0,0,0,0,0,0,2,2,0,0
52,Joyce Jacobsen,55,female,4You,68,82,34,20,22,82,15,27,28,68,82,34,20,22,82,15,27,28,110,166,102,188568.27999999974,349075.1499999997,489.92000000000036,35,32,35,37,27,25,28,25,28,37,32,37
53,Carol Dixon,23,female,4You,7,4,2,3,3,9,2,3,1,7,4,2,3,3,9,2,3,1,10,16,8,18982.800000000003,32112.21,49.33999999999999,6,0,0,0,0,0,0,0,2,9,8,9
54,Dorothea Delaney,21,female,4You,41,44,12,14,9,41,14,15,8,41,44,12,14,9,41,14,15,8,54,82,62,106341.36000000002,189890.01000000007,276.3600000000002,18,16,17,18,17,17,19,13,10,19,17,17
55,Ivory Shiner,38,none,4You,45,52,14,12,13,56,25,19,12,45,52,14,12,13,56,25,19,12,60,110,78,128936.64000000001,239923.8700000002,335.1400000000005,27,19,16,18,18,16,19,17,19,28,25,26
56,Lindsey Pille,39,none,4You,75,84,21,20,20,85,25,25,19,75,84,21,20,20,85,25,25,19,130,152,92,184709.1199999999,333292.8200000001,480.0800000000009,34,32,36,35,24,26,27,26,28,36,33,37
57,Dorothy Dyson,32,female,4You,15,19,6,10,4,19,11,3,3,15,19,6,10,4,19,11,3,3,32,40,18,44534.559999999976,81319.48,115.75999999999996,9,8,9,9,9,8,9,1,2,9,9,8
58,Ernie Walker,37,male,4You,16,12,5,6,5,21,3,2,4,16,12,5,6,5,21,3,2,4,14,36,24,39286.659999999974,73237.70000000001,102.03999999999994,9,8,9,9,8,3,0,0,2,9,8,9
59,Katherine Martinez,29,none,4You,14,16,6,4,8,14,4,3,3,14,16,6,4,8,14,4,3,3,22,32,18,33708.52,63828.00999999999,87.61999999999995,10,7,9,9,9,0,0,0,2,9,9,8
60,Fred Moreta,47,male,4You,71,80,30,12,21,62,28,30,20,71,80,30,12,21,62,28,30,20,94,140,120,176390.45999999996,324147.90000000014,458.3000000000007,35,29,25,28,25,25,27,26,28,37,33,36
61,Susan Armstrong,61,female,4You,77,69,19,14,15,65,17,26,24,77,69,19,14,15,65,17,26,24,82,136,108,161896.09999999986,301261.82999999996,420.6800000000006,27,25,25,28,24,26,27,26,28,37,26,27
62,David Ray,32,none,4You,68,62,16,20,26,68,21,19,18,68,62,16,20,26,68,21,19,18,78,148,92,158528.11999999997,296196.5700000002,411.9600000000003,27,24,26,26,27,25,28,25,28,30,26,26
63,Robert Bell,22,male,4You,49,71,16,19,17,60,11,18,19,49,71,16,19,17,60,11,18,19,86,136,58,136485.55999999997,259239.3999999998,354.7600000000006,27,23,27,26,27,16,20,16,19,27,25,27
64,Ann Moore,41,female,4You,72,82,27,25,21,72,25,21,21,72,82,27,25,21,72,25,21,21,112,148,106,185933.10000000015,337098.23000000004,483.2000000000005,35,32,34,26,27,25,28,25,28,37,32,37
65,Christina Law,51,none,4You,57,44,15,15,14,52,15,23,13,57,44,15,15,14,52,15,23,13,72,90,86,131720.72000000006,230265.93999999992,342.32000000000056,27,18,17,18,17,17,18,18,19,27,26,26
66,Lona Paquette,52,none,4You,26,22,6,12,8,29,6,9,8,26,22,6,12,8,29,6,9,8,32,52,42,66082.09999999999,119538.3,171.7199999999998,10,7,9,9,9,8,10,8,10,19,16,11
67,Melissa Long,41,female,4You,71,62,14,22,20,54,18,21,18,71,62,14,22,20,54,18,21,18,92,132,76,150357.16000000018,274049.05999999965,390.8200000000004,27,24,25,26,27,25,27,20,19,26,26,28
68,Lori Friedman,62,female,4You,54,71,21,12,13,53,8,18,14,54,71,21,12,13,53,8,18,14,68,116,80,129077.92000000017,245311.08999999994,335.5000000000003,27,24,26,19,18,16,19,17,19,28,24,27
69,Patty Chestnut,22,none,4You,51,59,17,11,18,62,13,17,26,51,59,17,11,18,62,13,17,26,72,110,92,133749.00000000023,249062.63999999996,347.50000000000006,27,24,26,28,19,16,18,18,19,28,24,27
70,Charles Lutz,57,male,4You,68,51,23,15,20,68,14,23,14,68,51,23,15,20,68,14,23,14,80,126,90,152507.96000000005,275294.3199999997,396.3200000000004,28,24,25,27,26,25,26,17,19,28,24,27
71,Walter Hendrickson,49,none,4You,9,11,4,3,1,11,6,2,3,9,11,4,3,1,11,6,2,3,8,22,20,24726.660000000003,47248.65,64.25999999999998,9,9,4,0,0,0,0,0,2,9,8,9
72,Pearlie Truong,22,none,4You,39,47,13,9,7,39,16,11,11,39,47,13,9,7,39,16,11,11,54,76,62,92816.3,170632.38000000003,241.22000000000003,18,17,16,18,17,17,17,9,10,18,18,17
73,Melissa Emch,46,female,4You,58,52,15,17,18,55,24,16,9,58,52,15,17,18,55,24,16,9,102,86,76,140448.68,239822.4699999999,364.9200000000003,26,26,25,19,18,16,20,16,19,28,25,26
74,Janet Vaness,24,none,4You,18,13,9,6,6,19,3,5,3,18,13,9,6,6,19,3,5,3,26,30,26,40446.48000000001,71982.56999999998,105.15999999999997,9,8,9,9,8,9,2,0,2,9,9,8
75,Robert Wilhite,65,male,4You,55,50,15,15,19,43,11,22,16,55,50,15,15,19,43,11,22,16,50,140,56,127762.42000000009,245740.70000000004,332.1000000000003,26,16,17,18,18,16,18,18,19,28,25,27
76,Dian Houde,65,none,4You,14,15,6,6,7,14,2,7,1,14,15,6,6,7,14,2,7,1,10,32,30,36263.920000000006,69771.3,94.27999999999997,9,8,9,9,9,0,0,0,2,9,9,8
77,Helen Gorman,57,female,4You,41,44,10,11,21,48,8,7,8,41,44,10,11,21,48,8,7,8,50,80,68,92029.57999999997,173394.03000000003,239.13999999999993,18,17,16,18,18,16,20,12,10,19,17,17
78,Craig Milstead,31,none,4You,45,43,10,6,11,40,16,10,15,45,43,10,6,11,40,16,10,15,58,84,54,95061.85999999997,177495.38999999993,247.03999999999996,18,17,16,18,18,16,19,11,10,19,16,18
79,Margaret Bertholf,65,female,4You,32,43,11,9,13,35,11,12,8,32,43,11,9,13,35,11,12,8,42,64,68,83381.52000000002,154568.97999999998,216.66000000000003,18,16,17,18,15,9,9,9,10,18,18,17
80,Elissa Hubbard,45,female,4You,18,11,6,6,3,8,2,2,4,18,11,6,6,3,8,2,2,4,10,22,28,31774.37999999999,60310.25000000002,82.59999999999994,9,8,9,6,0,0,0,0,2,9,8,9
81,Angela Hill,21,female,4You,35,34,6,10,10,32,10,12,13,35,34,6,10,10,32,10,12,13,56,60,46,82185.51999999997,143433.16000000006,213.6000000000001,18,17,16,13,9,8,10,8,10,18,17,18
82,Matthew Middendorf,60,male,4You,88,77,19,15,18,88,25,37,25,88,77,19,15,18,88,25,37,25,124,152,116,202801.7199999999,361377.2699999999,526.9800000000006,33,33,35,35,35,33,28,25,28,37,33,37
83,Fay Hall,51,none,4You,55,60,20,17,20,54,18,21,17,55,60,20,17,20,54,18,21,17,80,126,76,144318.38000000003,267373.63999999996,375.04000000000076,26,25,26,26,27,18,18,18,19,27,25,27
84,Josephine Miller,49,none,4You,40,50,10,11,10,41,18,9,13,40,50,10,11,10,41,18,9,13,62,76,64,96213.0,177348.56000000017,250.00000000000003,18,16,17,18,18,16,20,16,10,18,17,18
85,Peter Moon,39,male,4You,3,0,0,0,0,2,0,1,0,3,0,0,0,0,2,0,1,0,0,0,6,3884.6800000000003,6111.75,10.08,0,0,0,0,0,0,0,0,2,4,0,0
86,Audrey Atwood,30,female,4You,6,13,3,1,3,8,2,1,5,6,13,3,1,3,8,2,1,5,6,16,20,18519.55999999999,37410.850000000006,48.11999999999999,9,5,0,0,0,0,0,0,2,9,8,9
87,Marie Bowyer,30,female,4You,3,2,2,0,0,3,1,1,0,3,2,2,0,0,3,1,1,0,6,4,2,7167.280000000001,11804.430000000002,18.62,0,0,0,0,0,0,0,0,2,9,1,0
88,Gabriel Davis,21,none,4You,5,8,0,5,2,9,4,0,5,5,8,0,5,2,9,4,0,5,12,20,6,18515.839999999997,33705.37,48.11999999999999,9,1,0,0,0,0,0,0,2,9,9,8
89,Dixie Perez,28,female,4You,19,11,8,4,6,19,2,5,4,19,11,8,4,6,19,2,5,4,34,28,16,40811.33999999997,69751.36999999998,106.0599999999999,9,8,9,9,8,7,0,0,2,9,8,9
90,Juan Naone,39,none,4You,74,75,18,23,28,85,29,22,20,74,75,18,23,28,85,29,22,20,106,182,86,186352.84000000003,348779.1899999999,484.18000000000063,35,32,35,33,26,26,28,25,28,36,33,37
91,Christopher Madden,21,male,4You,38,30,18,11,7,28,8,16,6,38,30,18,11,7,28,8,16,6,54,58,50,89570.21999999999,155231.20999999996,232.73999999999987,18,15,18,13,9,8,9,9,10,18,18,17
92,Donna Day,43,female,4You,10,8,1,4,2,10,6,1,2,10,8,1,4,2,10,6,1,2,4,26,14,21681.239999999998,43436.310000000005,56.31999999999999,10,6,0,0,0,0,0,0,2,9,8,9
93,Nancy Campbell,32,none,4You,70,79,11,21,22,79,23,24,33,70,79,11,21,22,79,23,24,33,114,148,100,177690.77999999988,325028.6899999997,461.68000000000063,35,33,30,27,26,25,27,26,28,37,32,36
94,Cora Soron,47,none,4You,96,72,19,31,26,75,19,30,20,96,72,19,31,26,75,19,30,20,98,180,110,203915.92000000004,372524.58999999997,529.9400000000006,36,31,36,35,35,29,27,26,28,37,32,36
95,Randall Wison,21,none,4You,43,57,17,20,9,50,15,8,15,43,57,17,20,9,50,15,8,15,60,102,72,112729.72000000016,213826.1300000001,292.9600000000001,19,15,17,18,18,16,18,18,19,27,25,24
96,Mary Clarke,40,female,4You,50,47,13,15,22,53,18,9,15,50,47,13,15,22,53,18,9,15,82,98,62,108945.16000000003,202770.72999999975,283.19999999999976,23,16,17,18,18,16,19,17,19,27,25,27
97,Desmond Claxton,47,none,4You,43,43,17,10,12,32,16,9,10,43,43,17,10,12,32,16,9,10,54,84,54,91689.45999999996,172695.73999999996,238.2799999999998,18,17,16,18,18,16,17,9,10,18,17,18
98,Marie Ruiz,23,female,4You,12,12,6,3,2,15,4,3,5,12,12,6,3,2,15,4,3,5,18,22,22,31903.640000000014,57591.97000000003,82.86,9,8,9,8,0,0,0,0,2,9,9,8
99,Louis Peck,41,none,4You,16,7,2,3,4,11,3,3,5,16,7,2,3,4,11,3,3,5,14,24,16,28392.280000000006,51437.93,73.73999999999997,9,8,9,0,0,0,0,0,2,9,9,8
100,Carla Puskar,36,female,4You,55,54,16,23,18,70,18,18,14,55,54,16,23,18,70,18,18,14,100,118,68,150195.4599999999,262856.01000000007,390.2400000000005,26,24,26,26,27,22,18,18,19,27,25,28
101,James Banks,59,male,4You,25,16,8,3,4,17,8,10,9,25,16,8,3,4,17,8,10,9,30,54,16,52307.59999999999,96352.48999999996,135.9399999999999,10,8,8,9,9,8,9,9,4,9,8,9
102,Henry Muhammad,43,male,4You,14,14,2,3,2,16,3,2,4,14,14,2,3,2,16,3,2,4,14,20,26,28338.73999999999,53573.329999999994,73.64000000000001,9,8,9,6,0,0,0,0,2,9,9,8
103,Judy Church,39,female,4You,31,24,15,9,10,30,6,12,5,31,24,15,9,10,30,6,12,5,38,62,42,73194.34000000005,135010.97999999995,190.1799999999999,18,8,9,9,8,9,9,9,10,19,16,18
104,Stephen Naylor,32,male,4You,57,59,17,14,15,62,17,21,20,57,59,17,14,15,62,17,21,20,74,136,72,139491.33999999985,264594.73999999993,362.50000000000006,27,25,25,27,26,18,19,17,19,27,26,26
105,Richard Haugen,31,male,4You,86,77,23,18,27,67,24,20,24,86,77,23,18,27,67,24,20,24,108,144,114,184583.86000000004,340299.96999999986,479.64000000000027,35,31,35,27,26,25,26,27,28,37,32,37
106,Tisha Eberly,27,none,4You,60,73,16,25,14,58,20,21,17,60,73,16,25,14,58,20,21,17,78,138,88,155911.09999999995,284645.88999999996,405.16000000000025,27,23,27,27,26,25,28,23,19,27,26,26
107,Lisa Martin,46,female,4You,61,68,18,14,26,58,17,13,15,61,68,18,14,26,58,17,13,15,74,142,74,133639.18000000014,260734.79,347.2400000000002,26,24,26,26,27,25,20,17,19,27,25,28
108,Becky Gonzalez,58,female,4You,18,17,4,3,7,19,4,6,10,18,17,4,3,7,19,4,6,10,18,40,30,41949.579999999994,79449.69999999998,108.99999999999993,10,8,8,9,8,9,8,0,2,9,8,9
109,Maria Averitt,24,female,4You,69,60,14,12,20,68,14,19,20,69,60,14,12,20,68,14,19,20,80,114,102,145666.11999999997,267924.4600000001,378.44000000000017,28,24,25,26,27,25,27,16,19,28,24,27
110,Frank Leung,54,none,4You,66,73,22,17,19,52,21,21,19,66,73,22,17,19,52,21,21,19,82,140,88,151876.3999999998,286615.46,394.6600000000003,27,25,25,27,26,25,27,26,23,27,26,26
111,Susan Streets,63,female,4You,87,83,22,23,16,77,23,23,22,87,83,22,23,16,77,23,23,22,126,136,114,194659.37999999966,344746.11000000004,505.7400000000012,36,32,35,36,26,25,28,25,29,35,34,35
112,Michael Benincase,53,male,4You,82,80,19,21,35,81,14,30,26,82,80,19,21,35,81,14,30,26,104,166,118,189346.82000000018,353110.0899999997,492.08000000000067,34,33,34,36,34,29,27,26,28,35,35,37
113,Richard Bouton,38,none,4You,48,57,15,21,17,38,10,19,9,48,57,15,21,17,38,10,19,9,54,104,76,124366.12000000017,228030.75999999995,323.2400000000003,18,16,17,19,16,17,19,17,19,28,24,24
114,Wallace Tenney,47,male,4You,11,16,4,5,2,5,2,3,4,11,16,4,5,2,5,2,3,4,20,20,12,25199.699999999993,46091.1,65.49999999999999,9,8,7,0,0,0,0,0,2,9,9,8
115,Mark Trogdon,48,none,4You,79,63,28,16,28,78,25,21,16,79,63,28,16,28,78,25,21,16,90,170,94,181738.33999999988,341772.8699999998,472.22000000000037,36,28,26,27,25,26,27,26,29,35,33,36
116,Shawn Pennachio,59,male,4You,44,41,13,10,16,39,7,11,15,44,41,13,10,16,39,7,11,15,68,84,44,90619.81999999993,169064.43999999994,235.49999999999997,18,17,16,18,17,17,19,11,10,18,17,18
117,Maurice Creasey,38,none,4You,44,46,19,12,21,55,11,10,12,44,46,19,12,21,55,11,10,12,68,96,66,107910.96,203534.60000000003,280.43999999999994,17,18,16,18,18,16,19,17,19,27,25,20
118,Margaret Renfroe,45,female,4You,41,42,8,14,15,44,11,15,12,41,42,8,14,15,44,11,15,12,50,96,56,103141.16000000005,192695.02999999997,268.08000000000004,18,16,17,19,16,17,19,17,10,19,16,18
119,Justin Bedard,38,male,4You,73,76,18,20,23,81,26,27,26,73,76,18,20,23,81,26,27,26,132,134,104,179781.5399999999,319909.44000000006,467.1800000000003,37,32,34,30,25,26,28,25,28,36,34,35
120,Robert Cuomo,41,none,4You,70,71,26,22,16,68,14,18,17,70,71,26,22,16,68,14,18,17,82,146,94,160403.39999999988,299496.65,416.8600000000001,25,24,27,26,27,25,28,25,28,34,25,28
121,Kim Frederick,54,male,4You,23,19,10,1,11,20,8,6,6,23,19,10,1,11,20,8,6,6,26,50,28,46709.48000000002,93142.49000000002,121.3599999999999,9,8,9,9,9,8,10,8,8,9,9,8
122,Shannon Crosley,56,none,4You,27,24,10,6,7,27,12,8,7,27,24,10,6,7,27,12,8,7,30,54,44,68639.68000000001,124550.2,178.31999999999996,9,8,9,9,9,8,9,9,10,19,16,13
123,Ralph Alzugaray,60,male,4You,7,7,0,2,1,10,6,4,5,7,7,0,2,1,10,6,4,5,20,10,12,24007.98,37766.5,62.35999999999997,10,4,0,0,0,0,0,0,2,9,8,9
